"Tabela 283 - Produção vegetal e Área colhida dos estabelecimentos agropecuários por tipo de produção vegetal - série histórica (1920/2006)"
"Ano","region","Variável","Valor"
"1980","Minas Gerais","Área colhida (Hectares)","146740"
"1980","Espírito Santo","Produção vegetal (Toneladas)","4"
"1980","Espírito Santo","Área colhida (Hectares)","5"
"1980","Rio de Janeiro","Produção vegetal (Toneladas)","4"
"1980","Rio de Janeiro","Área colhida (Hectares)","7"
"1980","São Paulo","Produção vegetal (Toneladas)","958897"
"1980","São Paulo","Área colhida (Hectares)","485512"
"1980","Paraná","Produção vegetal (Toneladas)","4408495"
"1980","Paraná","Área colhida (Hectares)","2075657"
"1980","Santa Catarina","Produção vegetal (Toneladas)","529427"
"1980","Santa Catarina","Área colhida (Hectares)","427996"
"1980","Rio Grande do Sul","Produção vegetal (Toneladas)","5103538"
"1980","Rio Grande do Sul","Área colhida (Hectares)","3763073"
"1980","Mato Grosso do Sul","Produção vegetal (Toneladas)","1042237"
"1980","Mato Grosso do Sul","Área colhida (Hectares)","606998"
"1980","Mato Grosso","Produção vegetal (Toneladas)","88852"
"1980","Mato Grosso","Área colhida (Hectares)","56514"
"1980","Goiás","Produção vegetal (Toneladas)","368477"
"1980","Goiás","Área colhida (Hectares)","213487"
"1980","Distrito Federal","Produção vegetal (Toneladas)","10294"
"1980","Distrito Federal","Área colhida (Hectares)","6442"
"1985","Rondônia","Produção vegetal (Toneladas)","1257"
"1985","Rondônia","Área colhida (Hectares)","1240"
"1985","Acre","Produção vegetal (Toneladas)","1"
"1985","Acre","Área colhida (Hectares)","1"
"1985","Amazonas","Produção vegetal (Toneladas)","12"
