"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Mês","region","Variável","Valor"
"agosto 2020","Espírito Santo","Área colhida (Hectares)","-"
"agosto 2020","Espírito Santo","Produção (Toneladas)","-"
"agosto 2020","Rio de Janeiro","Área colhida (Hectares)","-"
"agosto 2020","Rio de Janeiro","Produção (Toneladas)","-"
"agosto 2020","São Paulo","Área colhida (Hectares)","1109100"
"agosto 2020","São Paulo","Produção (Toneladas)","4048200"
"agosto 2020","Paraná","Área colhida (Hectares)","5505000"
"agosto 2020","Paraná","Produção (Toneladas)","20755300"
"agosto 2020","Santa Catarina","Área colhida (Hectares)","664845"
"agosto 2020","Santa Catarina","Produção (Toneladas)","2244245"
"agosto 2020","Rio Grande do Sul","Área colhida (Hectares)","5960469"
"agosto 2020","Rio Grande do Sul","Produção (Toneladas)","11224010"
"agosto 2020","Mato Grosso do Sul","Área colhida (Hectares)","3139317"
"agosto 2020","Mato Grosso do Sul","Produção (Toneladas)","11005872"
"agosto 2020","Mato Grosso","Área colhida (Hectares)","9990227"
"agosto 2020","Mato Grosso","Produção (Toneladas)","34847949"
"agosto 2020","Goiás","Área colhida (Hectares)","3546891"
"agosto 2020","Goiás","Produção (Toneladas)","12660793"
"agosto 2020","Distrito Federal","Área colhida (Hectares)","74500"
"agosto 2020","Distrito Federal","Produção (Toneladas)","290550"
"setembro 2020","Rondônia","Área colhida (Hectares)","396683"
"setembro 2020","Rondônia","Produção (Toneladas)","1358577"
"setembro 2020","Acre","Área colhida (Hectares)","2530"
"setembro 2020","Acre","Produção (Toneladas)","8235"
"setembro 2020","Amazonas","Área colhida (Hectares)","-"
"setembro 2020","Amazonas","Produção (Toneladas)","-"
"setembro 2020","Roraima","Área colhida (Hectares)","24470"
"setembro 2020","Roraima","Produção (Toneladas)","53516"
"setembro 2020","Pará","Área colhida (Hectares)","607553"
"setembro 2020","Pará","Produção (Toneladas)","1861346"
"setembro 2020","Amapá","Área colhida (Hectares)","19722"
"setembro 2020","Amapá","Produção (Toneladas)","56207"
"setembro 2020","Tocantins","Área colhida (Hectares)","989707"
"setembro 2020","Tocantins","Produção (Toneladas)","3050483"
"setembro 2020","Maranhão","Área colhida (Hectares)","960937"
"setembro 2020","Maranhão","Produção (Toneladas)","3058058"
"setembro 2020","Piauí","Área colhida (Hectares)","757710"
"setembro 2020","Piauí","Produção (Toneladas)","2447892"
"setembro 2020","Ceará","Área colhida (Hectares)","450"
"setembro 2020","Ceará","Produção (Toneladas)","1350"
"setembro 2020","Rio Grande do Norte","Área colhida (Hectares)","-"
"setembro 2020","Rio Grande do Norte","Produção (Toneladas)","-"
"setembro 2020","Paraíba","Área colhida (Hectares)","-"
"setembro 2020","Paraíba","Produção (Toneladas)","-"
"setembro 2020","Pernambuco","Área colhida (Hectares)","-"
"setembro 2020","Pernambuco","Produção (Toneladas)","-"
"setembro 2020","Alagoas","Área colhida (Hectares)","1400"
"setembro 2020","Alagoas","Produção (Toneladas)","4800"
"setembro 2020","Sergipe","Área colhida (Hectares)","-"
"setembro 2020","Sergipe","Produção (Toneladas)","-"
"setembro 2020","Bahia","Área colhida (Hectares)","1620600"
"setembro 2020","Bahia","Produção (Toneladas)","6120000"
"setembro 2020","Minas Gerais","Área colhida (Hectares)","1687902"
"setembro 2020","Minas Gerais","Produção (Toneladas)","6144268"
"setembro 2020","Espírito Santo","Área colhida (Hectares)","-"
"setembro 2020","Espírito Santo","Produção (Toneladas)","-"
"setembro 2020","Rio de Janeiro","Área colhida (Hectares)","-"
"setembro 2020","Rio de Janeiro","Produção (Toneladas)","-"
"setembro 2020","São Paulo","Área colhida (Hectares)","1109800"
"setembro 2020","São Paulo","Produção (Toneladas)","3958700"
"setembro 2020","Paraná","Área colhida (Hectares)","5511200"
"setembro 2020","Paraná","Produção (Toneladas)","20773900"
"setembro 2020","Santa Catarina","Área colhida (Hectares)","664845"
"setembro 2020","Santa Catarina","Produção (Toneladas)","2244245"
"setembro 2020","Rio Grande do Sul","Área colhida (Hectares)","5960469"
"setembro 2020","Rio Grande do Sul","Produção (Toneladas)","11215370"
"setembro 2020","Mato Grosso do Sul","Área colhida (Hectares)","3139317"
"setembro 2020","Mato Grosso do Sul","Produção (Toneladas)","11005872"
"setembro 2020","Mato Grosso","Área colhida (Hectares)","9989649"
"setembro 2020","Mato Grosso","Produção (Toneladas)","35070044"
"setembro 2020","Goiás","Área colhida (Hectares)","3547546"
"setembro 2020","Goiás","Produção (Toneladas)","12663129"
"setembro 2020","Distrito Federal","Área colhida (Hectares)","74500"
"setembro 2020","Distrito Federal","Produção (Toneladas)","290550"
"outubro 2020","Rondônia","Área colhida (Hectares)","396883"
"outubro 2020","Rondônia","Produção (Toneladas)","1356715"
"outubro 2020","Acre","Área colhida (Hectares)","2530"
"outubro 2020","Acre","Produção (Toneladas)","8235"
"outubro 2020","Amazonas","Área colhida (Hectares)","-"
"outubro 2020","Amazonas","Produção (Toneladas)","-"
"outubro 2020","Roraima","Área colhida (Hectares)","24470"
"outubro 2020","Roraima","Produção (Toneladas)","53516"
"outubro 2020","Pará","Área colhida (Hectares)","607553"
"outubro 2020","Pará","Produção (Toneladas)","1861346"
"outubro 2020","Amapá","Área colhida (Hectares)","19722"
"outubro 2020","Amapá","Produção (Toneladas)","50421"
"outubro 2020","Tocantins","Área colhida (Hectares)","980101"
"outubro 2020","Tocantins","Produção (Toneladas)","3051664"
"outubro 2020","Maranhão","Área colhida (Hectares)","960937"
"outubro 2020","Maranhão","Produção (Toneladas)","3058058"
"outubro 2020","Piauí","Área colhida (Hectares)","757710"
"outubro 2020","Piauí","Produção (Toneladas)","2447892"
"outubro 2020","Ceará","Área colhida (Hectares)","450"
"outubro 2020","Ceará","Produção (Toneladas)","1350"
"outubro 2020","Rio Grande do Norte","Área colhida (Hectares)","-"
"outubro 2020","Rio Grande do Norte","Produção (Toneladas)","-"
"outubro 2020","Paraíba","Área colhida (Hectares)","-"
"outubro 2020","Paraíba","Produção (Toneladas)","-"
"outubro 2020","Pernambuco","Área colhida (Hectares)","-"
"outubro 2020","Pernambuco","Produção (Toneladas)","-"
"outubro 2020","Alagoas","Área colhida (Hectares)","1400"
"outubro 2020","Alagoas","Produção (Toneladas)","4800"
"outubro 2020","Sergipe","Área colhida (Hectares)","-"
"outubro 2020","Sergipe","Produção (Toneladas)","-"
"outubro 2020","Bahia","Área colhida (Hectares)","1620600"
"outubro 2020","Bahia","Produção (Toneladas)","6070000"
"outubro 2020","Minas Gerais","Área colhida (Hectares)","1689522"
"outubro 2020","Minas Gerais","Produção (Toneladas)","6155898"
"outubro 2020","Espírito Santo","Área colhida (Hectares)","-"
"outubro 2020","Espírito Santo","Produção (Toneladas)","-"
"outubro 2020","Rio de Janeiro","Área colhida (Hectares)","-"
"outubro 2020","Rio de Janeiro","Produção (Toneladas)","-"
"outubro 2020","São Paulo","Área colhida (Hectares)","1109800"
"outubro 2020","São Paulo","Produção (Toneladas)","3958700"
"outubro 2020","Paraná","Área colhida (Hectares)","5512600"
"outubro 2020","Paraná","Produção (Toneladas)","20842400"
"outubro 2020","Santa Catarina","Área colhida (Hectares)","664845"
"outubro 2020","Santa Catarina","Produção (Toneladas)","2244245"
"outubro 2020","Rio Grande do Sul","Área colhida (Hectares)","5959469"
"outubro 2020","Rio Grande do Sul","Produção (Toneladas)","11289663"
"outubro 2020","Mato Grosso do Sul","Área colhida (Hectares)","3139317"
"outubro 2020","Mato Grosso do Sul","Produção (Toneladas)","11005872"
"outubro 2020","Mato Grosso","Área colhida (Hectares)","9989649"
"outubro 2020","Mato Grosso","Produção (Toneladas)","35070044"
"outubro 2020","Goiás","Área colhida (Hectares)","3547058"
"outubro 2020","Goiás","Produção (Toneladas)","12679176"
"outubro 2020","Distrito Federal","Área colhida (Hectares)","74500"
"outubro 2020","Distrito Federal","Produção (Toneladas)","290550"
"novembro 2020","Rondônia","Área colhida (Hectares)","396883"
"novembro 2020","Rondônia","Produção (Toneladas)","1356715"
"novembro 2020","Acre","Área colhida (Hectares)","3280"
"novembro 2020","Acre","Produção (Toneladas)","10380"
"novembro 2020","Amazonas","Área colhida (Hectares)","-"
"novembro 2020","Amazonas","Produção (Toneladas)","-"
"novembro 2020","Roraima","Área colhida (Hectares)","24470"
"novembro 2020","Roraima","Produção (Toneladas)","53516"
"novembro 2020","Pará","Área colhida (Hectares)","607553"
"novembro 2020","Pará","Produção (Toneladas)","1861616"
"novembro 2020","Amapá","Área colhida (Hectares)","19722"
"novembro 2020","Amapá","Produção (Toneladas)","50421"
"novembro 2020","Tocantins","Área colhida (Hectares)","980101"
"novembro 2020","Tocantins","Produção (Toneladas)","3051664"
"novembro 2020","Maranhão","Área colhida (Hectares)","960937"
"novembro 2020","Maranhão","Produção (Toneladas)","3058058"
"novembro 2020","Piauí","Área colhida (Hectares)","757678"
"novembro 2020","Piauí","Produção (Toneladas)","2447620"
"novembro 2020","Ceará","Área colhida (Hectares)","450"
"novembro 2020","Ceará","Produção (Toneladas)","1350"
"novembro 2020","Rio Grande do Norte","Área colhida (Hectares)","-"
"novembro 2020","Rio Grande do Norte","Produção (Toneladas)","-"
"novembro 2020","Paraíba","Área colhida (Hectares)","-"
"novembro 2020","Paraíba","Produção (Toneladas)","-"
"novembro 2020","Pernambuco","Área colhida (Hectares)","-"
"novembro 2020","Pernambuco","Produção (Toneladas)","-"
"novembro 2020","Alagoas","Área colhida (Hectares)","1400"
"novembro 2020","Alagoas","Produção (Toneladas)","4800"
"novembro 2020","Sergipe","Área colhida (Hectares)","-"
"novembro 2020","Sergipe","Produção (Toneladas)","-"
"novembro 2020","Bahia","Área colhida (Hectares)","1620600"
"novembro 2020","Bahia","Produção (Toneladas)","6070000"
"novembro 2020","Minas Gerais","Área colhida (Hectares)","1692552"
"novembro 2020","Minas Gerais","Produção (Toneladas)","6205193"
"novembro 2020","Espírito Santo","Área colhida (Hectares)","-"
"novembro 2020","Espírito Santo","Produção (Toneladas)","-"
"novembro 2020","Rio de Janeiro","Área colhida (Hectares)","-"
"novembro 2020","Rio de Janeiro","Produção (Toneladas)","-"
"novembro 2020","São Paulo","Área colhida (Hectares)","1109800"
"novembro 2020","São Paulo","Produção (Toneladas)","3958700"
"novembro 2020","Paraná","Área colhida (Hectares)","5512200"
"novembro 2020","Paraná","Produção (Toneladas)","20841100"
"novembro 2020","Santa Catarina","Área colhida (Hectares)","664845"
"novembro 2020","Santa Catarina","Produção (Toneladas)","2244245"
"novembro 2020","Rio Grande do Sul","Área colhida (Hectares)","5959469"
"novembro 2020","Rio Grande do Sul","Produção (Toneladas)","11289663"
"novembro 2020","Mato Grosso do Sul","Área colhida (Hectares)","3139317"
"novembro 2020","Mato Grosso do Sul","Produção (Toneladas)","11005872"
"novembro 2020","Mato Grosso","Área colhida (Hectares)","9989649"
"novembro 2020","Mato Grosso","Produção (Toneladas)","35070044"
"novembro 2020","Goiás","Área colhida (Hectares)","3547144"
"novembro 2020","Goiás","Produção (Toneladas)","12679197"
"novembro 2020","Distrito Federal","Área colhida (Hectares)","74500"
"novembro 2020","Distrito Federal","Produção (Toneladas)","290550"
"dezembro 2020","Rondônia","Área colhida (Hectares)","392642"
"dezembro 2020","Rondônia","Produção (Toneladas)","1348784"
"dezembro 2020","Acre","Área colhida (Hectares)","3280"
"dezembro 2020","Acre","Produção (Toneladas)","10380"
"dezembro 2020","Amazonas","Área colhida (Hectares)","-"
"dezembro 2020","Amazonas","Produção (Toneladas)","-"
"dezembro 2020","Roraima","Área colhida (Hectares)","24470"
"dezembro 2020","Roraima","Produção (Toneladas)","53516"
"dezembro 2020","Pará","Área colhida (Hectares)","607553"
"dezembro 2020","Pará","Produção (Toneladas)","1861616"
"dezembro 2020","Amapá","Área colhida (Hectares)","20050"
"dezembro 2020","Amapá","Produção (Toneladas)","47818"
"dezembro 2020","Tocantins","Área colhida (Hectares)","981101"
"dezembro 2020","Tocantins","Produção (Toneladas)","3055467"
"dezembro 2020","Maranhão","Área colhida (Hectares)","960937"
"dezembro 2020","Maranhão","Produção (Toneladas)","3058058"
"dezembro 2020","Piauí","Área colhida (Hectares)","757678"
"dezembro 2020","Piauí","Produção (Toneladas)","2447620"
"dezembro 2020","Ceará","Área colhida (Hectares)","450"
"dezembro 2020","Ceará","Produção (Toneladas)","1350"
"dezembro 2020","Rio Grande do Norte","Área colhida (Hectares)","-"
"dezembro 2020","Rio Grande do Norte","Produção (Toneladas)","-"
"dezembro 2020","Paraíba","Área colhida (Hectares)","-"
"dezembro 2020","Paraíba","Produção (Toneladas)","-"
"dezembro 2020","Pernambuco","Área colhida (Hectares)","-"
"dezembro 2020","Pernambuco","Produção (Toneladas)","-"
"dezembro 2020","Alagoas","Área colhida (Hectares)","1204"
"dezembro 2020","Alagoas","Produção (Toneladas)","4600"
"dezembro 2020","Sergipe","Área colhida (Hectares)","-"
"dezembro 2020","Sergipe","Produção (Toneladas)","-"
"dezembro 2020","Bahia","Área colhida (Hectares)","1620600"
"dezembro 2020","Bahia","Produção (Toneladas)","6070000"
"dezembro 2020","Minas Gerais","Área colhida (Hectares)","1692552"
"dezembro 2020","Minas Gerais","Produção (Toneladas)","6205193"
"dezembro 2020","Espírito Santo","Área colhida (Hectares)","-"
"dezembro 2020","Espírito Santo","Produção (Toneladas)","-"
"dezembro 2020","Rio de Janeiro","Área colhida (Hectares)","-"
"dezembro 2020","Rio de Janeiro","Produção (Toneladas)","-"
"dezembro 2020","São Paulo","Área colhida (Hectares)","1109800"
"dezembro 2020","São Paulo","Produção (Toneladas)","3958700"
"dezembro 2020","Paraná","Área colhida (Hectares)","5516700"
"dezembro 2020","Paraná","Produção (Toneladas)","20871900"
"dezembro 2020","Santa Catarina","Área colhida (Hectares)","664845"
"dezembro 2020","Santa Catarina","Produção (Toneladas)","2244245"
"dezembro 2020","Rio Grande do Sul","Área colhida (Hectares)","5959469"
"dezembro 2020","Rio Grande do Sul","Produção (Toneladas)","11295193"
"dezembro 2020","Mato Grosso do Sul","Área colhida (Hectares)","3120790"
"dezembro 2020","Mato Grosso do Sul","Produção (Toneladas)","10948132"
"dezembro 2020","Mato Grosso","Área colhida (Hectares)","9989649"
"dezembro 2020","Mato Grosso","Produção (Toneladas)","35070044"
"dezembro 2020","Goiás","Área colhida (Hectares)","3547144"
"dezembro 2020","Goiás","Produção (Toneladas)","12679197"
"dezembro 2020","Distrito Federal","Área colhida (Hectares)","74500"
"dezembro 2020","Distrito Federal","Produção (Toneladas)","290550"
"janeiro 2021","Rondônia","Área colhida (Hectares)","399075"
"janeiro 2021","Rondônia","Produção (Toneladas)","1316319"
"janeiro 2021","Acre","Área colhida (Hectares)","5968"
"janeiro 2021","Acre","Produção (Toneladas)","18778"
"janeiro 2021","Amazonas","Área colhida (Hectares)","-"
"janeiro 2021","Amazonas","Produção (Toneladas)","-"
"janeiro 2021","Roraima","Área colhida (Hectares)","24470"
"janeiro 2021","Roraima","Produção (Toneladas)","53198"
"janeiro 2021","Pará","Área colhida (Hectares)","623690"
"janeiro 2021","Pará","Produção (Toneladas)","1916380"
"janeiro 2021","Amapá","Área colhida (Hectares)","21100"
"janeiro 2021","Amapá","Produção (Toneladas)","52650"
"janeiro 2021","Tocantins","Área colhida (Hectares)","971640"
"janeiro 2021","Tocantins","Produção (Toneladas)","2863204"
"janeiro 2021","Maranhão","Área colhida (Hectares)","997414"
"janeiro 2021","Maranhão","Produção (Toneladas)","3147239"
"janeiro 2021","Piauí","Área colhida (Hectares)","843540"
"janeiro 2021","Piauí","Produção (Toneladas)","2830170"
"janeiro 2021","Ceará","Área colhida (Hectares)","452"
"janeiro 2021","Ceará","Produção (Toneladas)","1275"
"janeiro 2021","Rio Grande do Norte","Área colhida (Hectares)","-"
"janeiro 2021","Rio Grande do Norte","Produção (Toneladas)","-"
"janeiro 2021","Paraíba","Área colhida (Hectares)","-"
"janeiro 2021","Paraíba","Produção (Toneladas)","-"
"janeiro 2021","Pernambuco","Área colhida (Hectares)","-"
"janeiro 2021","Pernambuco","Produção (Toneladas)","-"
"janeiro 2021","Alagoas","Área colhida (Hectares)","1174"
"janeiro 2021","Alagoas","Produção (Toneladas)","4317"
"janeiro 2021","Sergipe","Área colhida (Hectares)","-"
"janeiro 2021","Sergipe","Produção (Toneladas)","-"
"janeiro 2021","Bahia","Área colhida (Hectares)","1700000"
"janeiro 2021","Bahia","Produção (Toneladas)","6450680"
"janeiro 2021","Minas Gerais","Área colhida (Hectares)","1857722"
"janeiro 2021","Minas Gerais","Produção (Toneladas)","6740467"
"janeiro 2021","Espírito Santo","Área colhida (Hectares)","-"
"janeiro 2021","Espírito Santo","Produção (Toneladas)","-"
"janeiro 2021","Rio de Janeiro","Área colhida (Hectares)","-"
"janeiro 2021","Rio de Janeiro","Produção (Toneladas)","-"
"janeiro 2021","São Paulo","Área colhida (Hectares)","1162000"
"janeiro 2021","São Paulo","Produção (Toneladas)","3920465"
"janeiro 2021","Paraná","Área colhida (Hectares)","5617100"
"janeiro 2021","Paraná","Produção (Toneladas)","20500700"
"janeiro 2021","Santa Catarina","Área colhida (Hectares)","670394"
"janeiro 2021","Santa Catarina","Produção (Toneladas)","2368210"
"janeiro 2021","Rio Grande do Sul","Área colhida (Hectares)","6075058"
"janeiro 2021","Rio Grande do Sul","Produção (Toneladas)","19421238"
"janeiro 2021","Mato Grosso do Sul","Área colhida (Hectares)","3200000"
"janeiro 2021","Mato Grosso do Sul","Produção (Toneladas)","11520000"
"janeiro 2021","Mato Grosso","Área colhida (Hectares)","10269442"
"janeiro 2021","Mato Grosso","Produção (Toneladas)","34620057"
"janeiro 2021","Goiás","Área colhida (Hectares)","3632770"
"janeiro 2021","Goiás","Produção (Toneladas)","12283419"
"janeiro 2021","Distrito Federal","Área colhida (Hectares)","80000"
"janeiro 2021","Distrito Federal","Produção (Toneladas)","278400"
"fevereiro 2021","Rondônia","Área colhida (Hectares)","399075"
"fevereiro 2021","Rondônia","Produção (Toneladas)","1316319"
"fevereiro 2021","Acre","Área colhida (Hectares)","5968"
"fevereiro 2021","Acre","Produção (Toneladas)","18778"
"fevereiro 2021","Amazonas","Área colhida (Hectares)","-"
"fevereiro 2021","Amazonas","Produção (Toneladas)","-"
"fevereiro 2021","Roraima","Área colhida (Hectares)","24470"
"fevereiro 2021","Roraima","Produção (Toneladas)","53198"
"fevereiro 2021","Pará","Área colhida (Hectares)","623690"
"fevereiro 2021","Pará","Produção (Toneladas)","1916380"
"fevereiro 2021","Amapá","Área colhida (Hectares)","16720"
"fevereiro 2021","Amapá","Produção (Toneladas)","40100"
"fevereiro 2021","Tocantins","Área colhida (Hectares)","971640"
"fevereiro 2021","Tocantins","Produção (Toneladas)","2863204"
"fevereiro 2021","Maranhão","Área colhida (Hectares)","997414"
"fevereiro 2021","Maranhão","Produção (Toneladas)","3147239"
"fevereiro 2021","Piauí","Área colhida (Hectares)","843540"
"fevereiro 2021","Piauí","Produção (Toneladas)","2830170"
"fevereiro 2021","Ceará","Área colhida (Hectares)","452"
"fevereiro 2021","Ceará","Produção (Toneladas)","1275"
"fevereiro 2021","Rio Grande do Norte","Área colhida (Hectares)","-"
"fevereiro 2021","Rio Grande do Norte","Produção (Toneladas)","-"
"fevereiro 2021","Paraíba","Área colhida (Hectares)","-"
"fevereiro 2021","Paraíba","Produção (Toneladas)","-"
"fevereiro 2021","Pernambuco","Área colhida (Hectares)","-"
"fevereiro 2021","Pernambuco","Produção (Toneladas)","-"
"fevereiro 2021","Alagoas","Área colhida (Hectares)","1174"
"fevereiro 2021","Alagoas","Produção (Toneladas)","4317"
"fevereiro 2021","Sergipe","Área colhida (Hectares)","-"
"fevereiro 2021","Sergipe","Produção (Toneladas)","-"
"fevereiro 2021","Bahia","Área colhida (Hectares)","1700000"
"fevereiro 2021","Bahia","Produção (Toneladas)","6450680"
"fevereiro 2021","Minas Gerais","Área colhida (Hectares)","1858572"
"fevereiro 2021","Minas Gerais","Produção (Toneladas)","6740769"
"fevereiro 2021","Espírito Santo","Área colhida (Hectares)","-"
"fevereiro 2021","Espírito Santo","Produção (Toneladas)","-"
"fevereiro 2021","Rio de Janeiro","Área colhida (Hectares)","-"
"fevereiro 2021","Rio de Janeiro","Produção (Toneladas)","-"
"fevereiro 2021","São Paulo","Área colhida (Hectares)","1162000"
"fevereiro 2021","São Paulo","Produção (Toneladas)","3920465"
"fevereiro 2021","Paraná","Área colhida (Hectares)","5616300"
"fevereiro 2021","Paraná","Produção (Toneladas)","20449000"
"fevereiro 2021","Santa Catarina","Área colhida (Hectares)","670394"
"fevereiro 2021","Santa Catarina","Produção (Toneladas)","2368210"
"fevereiro 2021","Rio Grande do Sul","Área colhida (Hectares)","6087229"
"fevereiro 2021","Rio Grande do Sul","Produção (Toneladas)","19514310"
"fevereiro 2021","Mato Grosso do Sul","Área colhida (Hectares)","3200000"
"fevereiro 2021","Mato Grosso do Sul","Produção (Toneladas)","11520000"
"fevereiro 2021","Mato Grosso","Área colhida (Hectares)","10269442"
"fevereiro 2021","Mato Grosso","Produção (Toneladas)","34620057"
"fevereiro 2021","Goiás","Área colhida (Hectares)","3651894"
"fevereiro 2021","Goiás","Produção (Toneladas)","12371524"
"fevereiro 2021","Distrito Federal","Área colhida (Hectares)","80000"
"fevereiro 2021","Distrito Federal","Produção (Toneladas)","278400"
"março 2021","Rondônia","Área colhida (Hectares)","399075"
"março 2021","Rondônia","Produção (Toneladas)","1316319"
"março 2021","Acre","Área colhida (Hectares)","6180"
"março 2021","Acre","Produção (Toneladas)","20253"
"março 2021","Amazonas","Área colhida (Hectares)","-"
"março 2021","Amazonas","Produção (Toneladas)","-"
"março 2021","Roraima","Área colhida (Hectares)","24470"
"março 2021","Roraima","Produção (Toneladas)","53198"
"março 2021","Pará","Área colhida (Hectares)","715345"
"março 2021","Pará","Produção (Toneladas)","2188950"
"março 2021","Amapá","Área colhida (Hectares)","10500"
"março 2021","Amapá","Produção (Toneladas)","25788"
"março 2021","Tocantins","Área colhida (Hectares)","971640"
"março 2021","Tocantins","Produção (Toneladas)","2863204"
"março 2021","Maranhão","Área colhida (Hectares)","1003544"
"março 2021","Maranhão","Produção (Toneladas)","3173618"
"março 2021","Piauí","Área colhida (Hectares)","843540"
"março 2021","Piauí","Produção (Toneladas)","2830170"
"março 2021","Ceará","Área colhida (Hectares)","452"
"março 2021","Ceará","Produção (Toneladas)","1275"
"março 2021","Rio Grande do Norte","Área colhida (Hectares)","-"
"março 2021","Rio Grande do Norte","Produção (Toneladas)","-"
"março 2021","Paraíba","Área colhida (Hectares)","-"
"março 2021","Paraíba","Produção (Toneladas)","-"
"março 2021","Pernambuco","Área colhida (Hectares)","-"
"março 2021","Pernambuco","Produção (Toneladas)","-"
"março 2021","Alagoas","Área colhida (Hectares)","1174"
"março 2021","Alagoas","Produção (Toneladas)","4317"
"março 2021","Sergipe","Área colhida (Hectares)","-"
"março 2021","Sergipe","Produção (Toneladas)","-"
"março 2021","Bahia","Área colhida (Hectares)","1700000"
"março 2021","Bahia","Produção (Toneladas)","6530400"
"março 2021","Minas Gerais","Área colhida (Hectares)","1898872"
"março 2021","Minas Gerais","Produção (Toneladas)","6926644"
"março 2021","Espírito Santo","Área colhida (Hectares)","-"
"março 2021","Espírito Santo","Produção (Toneladas)","-"
"março 2021","Rio de Janeiro","Área colhida (Hectares)","-"
"março 2021","Rio de Janeiro","Produção (Toneladas)","-"
"março 2021","São Paulo","Área colhida (Hectares)","1162000"
"março 2021","São Paulo","Produção (Toneladas)","3920465"
"março 2021","Paraná","Área colhida (Hectares)","5620500"
"março 2021","Paraná","Produção (Toneladas)","20196400"
"março 2021","Santa Catarina","Área colhida (Hectares)","680000"
"março 2021","Santa Catarina","Produção (Toneladas)","2343625"
"março 2021","Rio Grande do Sul","Área colhida (Hectares)","6091873"
"março 2021","Rio Grande do Sul","Produção (Toneladas)","19649811"
"março 2021","Mato Grosso do Sul","Área colhida (Hectares)","3256499"
"março 2021","Mato Grosso do Sul","Produção (Toneladas)","11615795"
"março 2021","Mato Grosso","Área colhida (Hectares)","10415658"
"março 2021","Mato Grosso","Produção (Toneladas)","35236223"
"março 2021","Goiás","Área colhida (Hectares)","3686542"
"março 2021","Goiás","Produção (Toneladas)","12646021"
"março 2021","Distrito Federal","Área colhida (Hectares)","80000"
"março 2021","Distrito Federal","Produção (Toneladas)","288000"
"abril 2021","Rondônia","Área colhida (Hectares)","399075"
"abril 2021","Rondônia","Produção (Toneladas)","1316319"
"abril 2021","Acre","Área colhida (Hectares)","6280"
"abril 2021","Acre","Produção (Toneladas)","22042"
"abril 2021","Amazonas","Área colhida (Hectares)","-"
"abril 2021","Amazonas","Produção (Toneladas)","-"
"abril 2021","Roraima","Área colhida (Hectares)","24470"
"abril 2021","Roraima","Produção (Toneladas)","53198"
"abril 2021","Pará","Área colhida (Hectares)","715345"
"abril 2021","Pará","Produção (Toneladas)","2188950"
"abril 2021","Amapá","Área colhida (Hectares)","5220"
"abril 2021","Amapá","Produção (Toneladas)","12705"
"abril 2021","Tocantins","Área colhida (Hectares)","971640"
"abril 2021","Tocantins","Produção (Toneladas)","2863204"
"abril 2021","Maranhão","Área colhida (Hectares)","1003264"
"abril 2021","Maranhão","Produção (Toneladas)","3172599"
"abril 2021","Piauí","Área colhida (Hectares)","825457"
"abril 2021","Piauí","Produção (Toneladas)","2745215"
"abril 2021","Ceará","Área colhida (Hectares)","452"
"abril 2021","Ceará","Produção (Toneladas)","1275"
"abril 2021","Rio Grande do Norte","Área colhida (Hectares)","-"
"abril 2021","Rio Grande do Norte","Produção (Toneladas)","-"
"abril 2021","Paraíba","Área colhida (Hectares)","-"
"abril 2021","Paraíba","Produção (Toneladas)","-"
"abril 2021","Pernambuco","Área colhida (Hectares)","-"
"abril 2021","Pernambuco","Produção (Toneladas)","-"
"abril 2021","Alagoas","Área colhida (Hectares)","1211"
"abril 2021","Alagoas","Produção (Toneladas)","4604"
"abril 2021","Sergipe","Área colhida (Hectares)","-"
"abril 2021","Sergipe","Produção (Toneladas)","-"
"abril 2021","Bahia","Área colhida (Hectares)","1700000"
"abril 2021","Bahia","Produção (Toneladas)","6579400"
"abril 2021","Minas Gerais","Área colhida (Hectares)","1902174"
"abril 2021","Minas Gerais","Produção (Toneladas)","6930286"
"abril 2021","Espírito Santo","Área colhida (Hectares)","-"
"abril 2021","Espírito Santo","Produção (Toneladas)","-"
"abril 2021","Rio de Janeiro","Área colhida (Hectares)","-"
"abril 2021","Rio de Janeiro","Produção (Toneladas)","-"
"abril 2021","São Paulo","Área colhida (Hectares)","1159200"
"abril 2021","São Paulo","Produção (Toneladas)","4112400"
"abril 2021","Paraná","Área colhida (Hectares)","5622500"
"abril 2021","Paraná","Produção (Toneladas)","19890100"
"abril 2021","Santa Catarina","Área colhida (Hectares)","680000"
"abril 2021","Santa Catarina","Produção (Toneladas)","2343625"
"abril 2021","Rio Grande do Sul","Área colhida (Hectares)","6091873"
"abril 2021","Rio Grande do Sul","Produção (Toneladas)","19649811"
"abril 2021","Mato Grosso do Sul","Área colhida (Hectares)","3256499"
"abril 2021","Mato Grosso do Sul","Produção (Toneladas)","11615795"
"abril 2021","Mato Grosso","Área colhida (Hectares)","10415658"
"abril 2021","Mato Grosso","Produção (Toneladas)","35236223"
"abril 2021","Goiás","Área colhida (Hectares)","3685802"
"abril 2021","Goiás","Produção (Toneladas)","12901657"
"abril 2021","Distrito Federal","Área colhida (Hectares)","80000"
"abril 2021","Distrito Federal","Produção (Toneladas)","288000"
"maio 2021","Rondônia","Área colhida (Hectares)","399075"
"maio 2021","Rondônia","Produção (Toneladas)","1316319"
"maio 2021","Acre","Área colhida (Hectares)","6280"
"maio 2021","Acre","Produção (Toneladas)","22042"
