"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Mês","Brasil e Grande Região","Variável","Valor"
"abril 2009","Brasil","Área colhida (Hectares)","21643726"
"abril 2009","Brasil","Produção (Toneladas)","57591757"
"abril 2009","Norte","Área colhida (Hectares)","498370"
"abril 2009","Norte","Produção (Toneladas)","1429010"
"abril 2009","Nordeste","Área colhida (Hectares)","1594384"
"abril 2009","Nordeste","Produção (Toneladas)","4453360"
"abril 2009","Sudeste","Área colhida (Hectares)","1434416"
"abril 2009","Sudeste","Produção (Toneladas)","4058717"
"abril 2009","Sul","Área colhida (Hectares)","8243119"
"abril 2009","Sul","Produção (Toneladas)","18455461"
"abril 2009","Centro-Oeste","Área colhida (Hectares)","9873437"
"abril 2009","Centro-Oeste","Produção (Toneladas)","29195209"
"maio 2009","Brasil","Área colhida (Hectares)","21710285"
"maio 2009","Brasil","Produção (Toneladas)","57195834"
"maio 2009","Norte","Área colhida (Hectares)","490075"
"maio 2009","Norte","Produção (Toneladas)","1395356"
"maio 2009","Nordeste","Área colhida (Hectares)","1612077"
"maio 2009","Nordeste","Produção (Toneladas)","4191718"
"maio 2009","Sudeste","Área colhida (Hectares)","1445793"
"maio 2009","Sudeste","Produção (Toneladas)","4082549"
"maio 2009","Sul","Área colhida (Hectares)","8272520"
"maio 2009","Sul","Produção (Toneladas)","18405970"
"maio 2009","Centro-Oeste","Área colhida (Hectares)","9889820"
"maio 2009","Centro-Oeste","Produção (Toneladas)","29120241"
"junho 2009","Brasil","Área colhida (Hectares)","21716253"
"junho 2009","Brasil","Produção (Toneladas)","56851505"
"junho 2009","Norte","Área colhida (Hectares)","490475"
"junho 2009","Norte","Produção (Toneladas)","1396556"
"junho 2009","Nordeste","Área colhida (Hectares)","1612923"
"junho 2009","Nordeste","Produção (Toneladas)","4190279"
"junho 2009","Sudeste","Área colhida (Hectares)","1445593"
"junho 2009","Sudeste","Produção (Toneladas)","3979926"
"junho 2009","Sul","Área colhida (Hectares)","8272502"
"junho 2009","Sul","Produção (Toneladas)","18408622"
"junho 2009","Centro-Oeste","Área colhida (Hectares)","9894760"
"junho 2009","Centro-Oeste","Produção (Toneladas)","28876122"
"julho 2009","Brasil","Área colhida (Hectares)","21710374"
"julho 2009","Brasil","Produção (Toneladas)","56828146"
"julho 2009","Norte","Área colhida (Hectares)","489070"
"julho 2009","Norte","Produção (Toneladas)","1398020"
"julho 2009","Nordeste","Área colhida (Hectares)","1612923"
"julho 2009","Nordeste","Produção (Toneladas)","4175198"
"julho 2009","Sudeste","Área colhida (Hectares)","1445548"
"julho 2009","Sudeste","Produção (Toneladas)","3979782"
"julho 2009","Sul","Área colhida (Hectares)","8262988"
"julho 2009","Sul","Produção (Toneladas)","18399243"
"julho 2009","Centro-Oeste","Área colhida (Hectares)","9899845"
"julho 2009","Centro-Oeste","Produção (Toneladas)","28875903"
"agosto 2009","Brasil","Área colhida (Hectares)","21707441"
"agosto 2009","Brasil","Produção (Toneladas)","56823510"
"agosto 2009","Norte","Área colhida (Hectares)","487901"
"agosto 2009","Norte","Produção (Toneladas)","1394642"
"agosto 2009","Nordeste","Área colhida (Hectares)","1612923"
"agosto 2009","Nordeste","Produção (Toneladas)","4175198"
"agosto 2009","Sudeste","Área colhida (Hectares)","1445768"
"agosto 2009","Sudeste","Produção (Toneladas)","3980332"
"agosto 2009","Sul","Área colhida (Hectares)","8262988"
"agosto 2009","Sul","Produção (Toneladas)","18399243"
"agosto 2009","Centro-Oeste","Área colhida (Hectares)","9897861"
"agosto 2009","Centro-Oeste","Produção (Toneladas)","28874095"
