"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Mês","Brasil e Grande Região","Variável","Valor"
"setembro 2022","Brasil","Produção (Toneladas)","119497562"
"setembro 2022","Norte","Área colhida (Hectares)","2538295"
"setembro 2022","Norte","Produção (Toneladas)","7864612"
"setembro 2022","Nordeste","Área colhida (Hectares)","3782746"
"setembro 2022","Nordeste","Produção (Toneladas)","13806902"
"setembro 2022","Sudeste","Área colhida (Hectares)","3238182"
"setembro 2022","Sudeste","Produção (Toneladas)","12319348"
"setembro 2022","Sul","Área colhida (Hectares)","12672705"
"setembro 2022","Sul","Produção (Toneladas)","23549943"
"setembro 2022","Centro-Oeste","Área colhida (Hectares)","18643657"
"setembro 2022","Centro-Oeste","Produção (Toneladas)","61956757"
"outubro 2022","Brasil","Área colhida (Hectares)","40861638"
"outubro 2022","Brasil","Produção (Toneladas)","119462781"
"outubro 2022","Norte","Área colhida (Hectares)","2538597"
"outubro 2022","Norte","Produção (Toneladas)","7857123"
"outubro 2022","Nordeste","Área colhida (Hectares)","3782746"
"outubro 2022","Nordeste","Produção (Toneladas)","13806902"
"outubro 2022","Sudeste","Área colhida (Hectares)","3238182"
"outubro 2022","Sudeste","Produção (Toneladas)","12319348"
"outubro 2022","Sul","Área colhida (Hectares)","12672705"
"outubro 2022","Sul","Produção (Toneladas)","23549260"
"outubro 2022","Centro-Oeste","Área colhida (Hectares)","18629408"
"outubro 2022","Centro-Oeste","Produção (Toneladas)","61930148"
"novembro 2022","Brasil","Área colhida (Hectares)","40853893"
"novembro 2022","Brasil","Produção (Toneladas)","119541186"
"novembro 2022","Norte","Área colhida (Hectares)","2514496"
"novembro 2022","Norte","Produção (Toneladas)","7795925"
"novembro 2022","Nordeste","Área colhida (Hectares)","3782758"
"novembro 2022","Nordeste","Produção (Toneladas)","13805514"
"novembro 2022","Sudeste","Área colhida (Hectares)","3238182"
"novembro 2022","Sudeste","Produção (Toneladas)","12319348"
"novembro 2022","Sul","Área colhida (Hectares)","12689049"
"novembro 2022","Sul","Produção (Toneladas)","23690251"
"novembro 2022","Centro-Oeste","Área colhida (Hectares)","18629408"
"novembro 2022","Centro-Oeste","Produção (Toneladas)","61930148"
"dezembro 2022","Brasil","Área colhida (Hectares)","40884441"
"dezembro 2022","Brasil","Produção (Toneladas)","119523533"
"dezembro 2022","Norte","Área colhida (Hectares)","2515016"
"dezembro 2022","Norte","Produção (Toneladas)","7797881"
"dezembro 2022","Nordeste","Área colhida (Hectares)","3783510"
"dezembro 2022","Nordeste","Produção (Toneladas)","13801265"
"dezembro 2022","Sudeste","Área colhida (Hectares)","3238182"
"dezembro 2022","Sudeste","Produção (Toneladas)","12319348"
"dezembro 2022","Sul","Área colhida (Hectares)","12689049"
"dezembro 2022","Sul","Produção (Toneladas)","23690251"
"dezembro 2022","Centro-Oeste","Área colhida (Hectares)","18658684"
"dezembro 2022","Centro-Oeste","Produção (Toneladas)","61914788"
"janeiro 2023","Brasil","Área colhida (Hectares)","42774918"
"janeiro 2023","Brasil","Produção (Toneladas)","147545847"
"janeiro 2023","Norte","Área colhida (Hectares)","2618117"
"janeiro 2023","Norte","Produção (Toneladas)","8607600"
"janeiro 2023","Nordeste","Área colhida (Hectares)","3888920"
"janeiro 2023","Nordeste","Produção (Toneladas)","13952632"
"janeiro 2023","Sudeste","Área colhida (Hectares)","3411406"
"janeiro 2023","Sudeste","Produção (Toneladas)","12403332"
"janeiro 2023","Sul","Área colhida (Hectares)","13176471"
"janeiro 2023","Sul","Produção (Toneladas)","44772244"
"janeiro 2023","Centro-Oeste","Área colhida (Hectares)","19680004"
"janeiro 2023","Centro-Oeste","Produção (Toneladas)","67810039"
"fevereiro 2023","Brasil","Área colhida (Hectares)","42837305"
"fevereiro 2023","Brasil","Produção (Toneladas)","145021020"
"fevereiro 2023","Norte","Área colhida (Hectares)","2618117"
"fevereiro 2023","Norte","Produção (Toneladas)","8607600"
"fevereiro 2023","Nordeste","Área colhida (Hectares)","3917759"
"fevereiro 2023","Nordeste","Produção (Toneladas)","14010436"
"fevereiro 2023","Sudeste","Área colhida (Hectares)","3411406"
"fevereiro 2023","Sudeste","Produção (Toneladas)","12403332"
"fevereiro 2023","Sul","Área colhida (Hectares)","13182084"
"fevereiro 2023","Sul","Produção (Toneladas)","41945396"
"fevereiro 2023","Centro-Oeste","Área colhida (Hectares)","19707939"
"fevereiro 2023","Centro-Oeste","Produção (Toneladas)","68054256"
"março 2023","Brasil","Área colhida (Hectares)","43103799"
"março 2023","Brasil","Produção (Toneladas)","147240376"
"março 2023","Norte","Área colhida (Hectares)","2661967"
"março 2023","Norte","Produção (Toneladas)","8797126"
"março 2023","Nordeste","Área colhida (Hectares)","3923411"
"março 2023","Nordeste","Produção (Toneladas)","14031300"
"março 2023","Sudeste","Área colhida (Hectares)","3411406"
"março 2023","Sudeste","Produção (Toneladas)","12403332"
"março 2023","Sul","Área colhida (Hectares)","13191766"
"março 2023","Sul","Produção (Toneladas)","39712866"
"março 2023","Centro-Oeste","Área colhida (Hectares)","19915249"
"março 2023","Centro-Oeste","Produção (Toneladas)","72295752"
"abril 2023","Brasil","Área colhida (Hectares)","43322121"
"abril 2023","Brasil","Produção (Toneladas)","149063781"
"abril 2023","Norte","Área colhida (Hectares)","2680045"
"abril 2023","Norte","Produção (Toneladas)","8844076"
"abril 2023","Nordeste","Área colhida (Hectares)","3931638"
"abril 2023","Nordeste","Produção (Toneladas)","14085297"
"abril 2023","Sudeste","Área colhida (Hectares)","3458691"
"abril 2023","Sudeste","Produção (Toneladas)","12787562"
"abril 2023","Sul","Área colhida (Hectares)","13201434"
"abril 2023","Sul","Produção (Toneladas)","40129200"
"abril 2023","Centro-Oeste","Área colhida (Hectares)","20050313"
"abril 2023","Centro-Oeste","Produção (Toneladas)","73217646"
